Taxa	YLD
train1	5.272857
train2	10.555715
train3	9.17
train4	9.377143
train5	10.905715
train6	8.66
train7	12.852858
train8	9.21
train9	8.141429
train10	9.481428
train11	10.117143
train12	10.131429
train13	10.477142
train14	8.22
train15	9.05
train16	8.759377
train17	7.4900002
train18	8.95
train19	9.488571
train20	6.594286
train21	8.3
train22	7.174286
train23	8.595715
train24	3.072294
train25	5.8142858
train26	4.49
train27	9.76
train28	6.682857
train29	6.8342857
train30	8.612857
train31	4.5404015
train32	8.228571
train33	4.515714
train34	5.464286
train35	5.6214285
train36	4.4657145
train37	3.3156273
train38	3.3985715
train39	5.102857
train40	10.877143
train41	6.397143
train42	4.7910433
train43	6.0914288
train44	5.0414286
train45	4.2357144
train46	6.4671426
train47	9.095909
train48	9.261429
train49	12.58
train50	11.648571
train51	12.5671425
train52	12.752857
train53	10.888572
train54	11.784286
train55	12.605714
train56	11.232857
train57	12.588572
train58	13.591429
train59	11.781428
train60	6.302857
train61	8.284286
train62	10.964286
train63	12.537143
train64	10.528572
train65	11.9
train66	11.305715
train67	10.964286
train68	11.587143
train69	12.974286
train70	12.471429
train71	6.95
train72	10.964286
train73	10.785714
train74	14.017143
train75	10.79
train76	14.625714
train77	10.781428
train78	13.555715
train79	13.065715
train80	12.33
train81	7.84
train82	7.04
train83	8.515715
train84	5.977143
train85	4.957143
train86	8.917143
train87	9.568571
train88	8.03
train89	6.9228573
train90	11.961429
train91	5.694286
train92	9.034286
train93	11.987576
train94	7.67
train95	5.599242
train96	7.5759087
train97	7.194286
train98	9.731429
train99	8.527143
train100	7.5514283
train101	9.884286
train102	9.07
train103	7.5
train104	10.314285
train105	6.65
train106	6.3428574
train107	8.231428
train108	7.7757144
train109	7.7485714
train110	5.517143
train111	10.795714
train112	10.742857
train113	8.861428
train114	9.391429
train115	8.292857
train116	8.734285
train117	9.662857
train118	9.42
train119	5.3685713
train120	6.5614285
train121	9.395714
train122	6.9057145
train123	9.464286
train124	3.97
train125	5.767143
train126	3.7128572
train127	4.852857
train128	5.404743
train129	4.1514287
train130	4.9628572
train131	2.3257143
train132	2.887143
train133	3.3114285
train134	8.541429
train135	6.8385715
train136	5.7042856
train137	3.3876367
train138	3.6161675
train139	3.7957144
train140	3.6114285
train141	1.91
train142	4.6257143
train143	3.1557143
train144	4.3085713
train145	4.7692423
train146	3.5614285
train147	5.6842856
train148	2.3685715
train149	5.0614285
train150	4.61
train151	2.1714287
train152	2.0757143
train153	4.152068
train154	10.428572
train155	4.07
train156	5.6
train157	6.5371428
train158	2.6257143
train159	6.9028573
train160	5.951429
train161	5.227143
train162	7.73
train163	7.087143
train164	6.2085714
train165	8.304286
train166	10.552857
train167	10.004286
train168	9.8171425
train169	8.581429
train170	8.690001
train171	4.8414288
train172	5.0657144
train173	5.042857
train174	6.737143
train175	5.972857
train176	7.6514287
train177	4.1842856
train178	5.8285713
train179	3.1742857
train180	5.25
train181	6.79
train182	4.8361673
train183	10.01
train184	8.674286
train185	10.475714
train186	7.3028574
train187	8.105715
train188	8.254286
train189	6.31
train190	8.255714
train191	6.6557145
train192	5.4942856
train193	6.2400002
train194	8.327143
train195	6.252857
train196	4.9942856
train197	10.185714
train198	8.582857
train199	8.3714285
train200	8.318571
train201	8.984286
train202	12.43
train203	8.25
train204	7.4414287
train205	9.671429
train206	1.6693034
train207	10.204286
train208	6.3357143
train209	6.1057143
train210	6.0885715
train211	7.8257146
train212	7.475714
train213	7.7885714
train214	6.781429
train215	1.6642421
train216	8.318571
train217	10.967143
train218	10.987143
train219	10.342068
train220	12.044286
train221	6.8642855
train222	6.924286
train223	12.365714
train224	11.877143
train225	8.9800005
train226	9.581429
train227	9.012857
train228	9.0020685
train229	4.302857
train230	4.2614284
train231	5.770909
train232	12.335714
train233	8.702857
train234	11.685715
train235	11.0742855
train236	12.681429
train237	6.6328573
train238	13.384286
train239	5.9157143
train240	4.948571
train241	10.935715
train242	9.08
train243	12.287637
train244	9.645714
train245	8.882857
train246	9.888572
train247	11.028572
train248	11.062857
train249	11.75
train250	10.758572
train251	9.468572
train252	10.238571
train253	8.822857
train254	11.428572
train255	8.271428
train256	12.67
train257	10.472857
train258	8.841429
train259	10.39
train260	10.161428
train261	8.714286
train262	3.69
train263	8.214286
train264	10.441428
train265	9.024286
train266	6.1514287
train267	7.06
train268	8.252857
train269	8.541429
train270	11.305715
train271	6.9357142
train272	7.9485717
train273	9.96
train274	3.59
train275	5.3114285
train276	6.511435
train277	9.454286
train278	9.922857
train279	6.5685716
train280	3.4611676
train281	8.491428
train282	4.3114285
train283	11.645714
train284	8.197144
train285	11.137143
train286	9.057143
train287	10.631429
train288	10.572857
train289	12.625714
train290	8.561428
train291	10.302857
train292	11.374286
train293	4.745714
