Trait	Model	mean_r	sd_r	mean_R2	sd_R2	count
YLD	RR-BLUP	0.837	0.035	0.950	0.010	15
YLD	GBLUP	0.836	0.035	0.939	0.007	15
YLD	BRR	0.836	0.035	0.939	0.007	15
YLD	BL	0.837	0.035	0.934	0.009	15
YLD	BayesA	0.836	0.035	0.937	0.008	15
YLD	BayesB	0.835	0.035	0.938	0.008	15
YLD	BayesC	0.835	0.035	0.939	0.007	15
YLD	RFR	0.823	0.041	0.969	0.001	15
YLD	SVR	0.817	0.039	0.975	0.005	15
YLD	RKHS	0.834	0.040	0.960	0.007	15
YLD	RFC	0.787	0.046	0.722	0.010	15
YLD	SVC	0.727	0.058	0.673	0.011	15
PLH	RR-BLUP	0.843	0.033	0.952	0.010	15
PLH	GBLUP	0.842	0.033	0.938	0.008	15
PLH	BRR	0.842	0.033	0.937	0.008	15
PLH	BL	0.843	0.031	0.929	0.010	15
PLH	BayesA	0.843	0.032	0.934	0.008	15
PLH	BayesB	0.844	0.031	0.936	0.007	15
PLH	BayesC	0.843	0.032	0.936	0.008	15
PLH	RFR	0.835	0.023	0.970	0.002	15
PLH	SVR	0.832	0.042	0.985	0.002	15
PLH	RKHS	0.847	0.031	0.962	0.004	15
PLH	RFC	0.785	0.026	0.699	0.016	15
PLH	SVC	0.743	0.046	0.654	0.017	15
