Rep_ID	Fold_ID	Trait	Model	Marker_type	r	R2	Marker_file	Pheno_file
1	0	YLD	RR-BLUP	SNP	0.875	0.9403	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	GBLUP	SNP	0.8771	0.9305	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	BRR	SNP	0.8773	0.9304	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	BL	SNP	0.8771	0.9234	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	BayesA	SNP	0.8764	0.9281	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	BayesB	SNP	0.8758	0.9282	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	BayesC	SNP	0.8762	0.9301	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	RFR	SNP	0.8528	0.9675	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	SVR	SNP	0.8686	0.9707	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	RKHS	SNP	0.8697	0.9547	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	RFC	SNP	0.7937	0.7296	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	0	YLD	SVC	SNP	0.7732	0.6727	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	1	YLD	RR-BLUP	SNP	0.8836	0.9382	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	1	YLD	GBLUP	SNP	0.8769	0.9311	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	1	YLD	BRR	SNP	0.875	0.9314	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
1	1	YLD	BL	SNP	0.8774	0.9262	train_genotype.aligned.sorted.vcf.GSCode.imputed.tsv	YLD_normalized.aligned.sorted.tsv
